FlightDate,OriginCityName,DestCityName,CRSDepTime,DepTime,DepDelayMinutes,WeatherDelay,Distance,ArrDelayMinutes,OriginCityName_clean,station_id,city_name,date,season,avg_temp_c,min_temp_c,max_temp_c,precipitation_mm,snow_depth_mm,avg_wind_dir_deg,avg_wind_speed_kmh,peak_wind_gust_kmh,avg_sea_level_pres_hpa,sunshine_total_min,city_name_clean,Month,has_weather_data,is_severe_delay,is_heavy_precipitation,DayOfWeek,IsWeekend,DelayCategory,Distance_scaled,avg_temp_c_scaled,precipitation_mm_scaled,avg_wind_speed_kmh_scaled,WeatherCondition,TemperatureCategory
2022-09-03,"Springfield, MO","Dallas/Fort Worth, TX",1057,1051.0,0.0,0.0,364.0,0.0,springfield,72439,Springfield,2022-09-03,Autumn,22.4,18.3,27.2,14.7,0.0,22.0,5.4,,1018.8,,springfield,9,1,0,0,5,1,OnTime,-0.7116040575182719,1.1632301285955207,3.3575991559498415,-2.347711501738379,Heavy Rain,Warm
2019-04-02,"El Paso, TX","Dallas, TX",510,509.0,0.0,0.0,562.0,0.0,el paso,,,,,16.6,,,0.0,,,11.9,,,,,4,0,0,0,1,0,OnTime,-0.3719222028475925,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2018-06-27,"Indianapolis, IN","Baltimore, MD",1720,1725.0,5.0,0.0,516.0,0.0,indianapolis,72438,Indianapolis,2018-06-27,Summer,23.4,20.6,28.9,0.0,0.0,245.0,19.1,,1010.1,,indianapolis,6,1,0,0,2,0,Minor,-0.4508381892862352,1.3568244170780983,-0.1538199655217408,2.4481047094833714,,Warm
2020-01-21,"Buffalo, NY","Atlanta, GA",1247,1835.0,348.0,0.0,712.0,324.0,buffalo,,,,,16.6,,,0.0,,,11.9,,,,,1,0,1,0,1,0,Severe,-0.11458746446071406,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-07-13,"Chicago, IL","Tulsa, OK",1247,1243.0,0.0,0.0,585.0,0.0,chicago,,,,,16.6,,,0.0,,,11.9,,,,,7,0,0,0,2,0,OnTime,-0.3324642096282711,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2022-05-04,"Nashville, TN","Baltimore, MD",635,633.0,0.0,0.0,587.0,0.0,nashville,72327,Nashville,2022-05-04,Spring,20.5,14.4,23.9,0.0,0.0,348.0,10.8,,1018.3,,nashville,5,1,0,0,2,0,OnTime,-0.32903307978311275,0.7954009804786231,-0.1538199655217408,-0.45738978344659414,,Warm
2021-10-12,"Denver, CO","San Diego, CA",1125,1126.0,1.0,0.0,853.0,0.0,denver,72469,Denver,2021-10-12,Autumn,8.4,1.7,12.2,0.8,0.0,90.0,17.5,,999.9,,denver,10,1,0,0,1,0,Minor,0.12730718962295165,-1.5470899101605682,0.03727767374201881,1.8880093855450644,Dry,Cold
2020-01-24,"Nashville, TN","Jacksonville, FL",820,819.0,0.0,0.0,483.0,0.0,nashville,72327,Nashville,2020-01-24,Winter,8.4,4.4,11.7,2.3,0.0,221.0,13.0,,1013.2,,nashville,1,1,0,0,4,0,OnTime,-0.5074518317313484,-1.5470899101605682,0.395585747361568,0.3127412869685771,Light Rain,Cold
2022-12-21,"Cincinnati, OH","Baltimore, MD",1745,1851.0,66.0,0.0,430.0,60.0,cincinnati,,,,,16.6,,,0.0,,,11.9,,,,,12,0,0,0,2,0,Severe,-0.5983767726280455,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
2019-06-23,"Minneapolis, MN","Milwaukee, WI",900,857.0,0.0,0.0,297.0,0.0,minneapolis,,,,,16.6,,,0.0,,,11.9,,,,,6,0,0,0,6,1,OnTime,-0.8265469073310776,0.04038325539656994,-0.1538199655217408,-0.07232424823900853,,Mild
